204.84.11.170	e0:cb:1d:c4:63:2a	Private
204.84.11.196	78:f8:82:b1:bb:e8	LG Electronics (Mobile Communications)
204.84.11.162	cc:44:63:a1:73:56	Apple, Inc.
204.84.11.112	00:ee:bd:b1:2a:43	HTC Corporation
204.84.11.156	80:6a:b0:f4:a4:37	Shenzhen TINNO Mobile Technology Corp.
204.84.11.142	64:e6:82:a5:61:83	Apple, Inc.
204.84.11.251	dc:2b:61:a4:92:56	Apple, Inc.
204.84.10.228	a4:67:06:d1:22:7c	Apple, Inc.
204.84.10.162	30:63:6b:cf:d0:46	(Unknown)
204.84.10.251	84:89:ad:b0:f0:6b	(Unknown)
204.84.11.176	9c:f4:8e:19:6e:f3	(Unknown)
204.84.10.158	f0:99:bf:45:d9:a3	Apple, Inc.
204.84.11.159	ac:5f:3e:b6:bf:de	(Unknown)
204.84.11.222	d0:4f:7e:ce:fb:5a	Apple, Inc.
204.84.10.163	a8:5b:78:4a:30:56	Apple, Inc.
204.84.10.163	a8:5b:78:4a:30:56	Apple, Inc. (DUP: 2)
204.84.11.22	b8:53:ac:93:82:13	(Unknown)
204.84.11.144	78:d7:5f:13:b0:0f	Apple, Inc.
204.84.11.207	2c:33:61:4d:3e:72	(Unknown)
204.84.11.207	2c:33:61:4d:3e:72	(Unknown) (DUP: 2)
204.84.11.197	a0:99:9b:08:05:2f	Apple, Inc.
204.84.11.239	d0:25:98:6d:6c:93	Apple, Inc.
204.84.11.239	d0:25:98:6d:6c:93	Apple, Inc. (DUP: 2)
